Date,Open,High,Low,Close,Adj Close,Volume
2020-02-20,43.52000045776367,44.36000061035156,40.61000061035156,41.0,41.0,378200
2020-02-21,41.060001373291016,41.91999816894531,38.029998779296875,38.27000045776367,38.27000045776367,212200
2020-02-24,37.36000061035156,38.77000045776367,37.11000061035156,38.470001220703125,38.470001220703125,178800
2020-02-25,38.40999984741211,38.5099983215332,36.400001525878906,36.459999084472656,36.459999084472656,155800
2020-02-26,36.650001525878906,37.5,36.0,36.18000030517578,36.18000030517578,165300
2020-02-27,35.81999969482422,37.22999954223633,35.65999984741211,35.93000030517578,35.93000030517578,175600
2020-02-28,34.970001220703125,36.529998779296875,34.90999984741211,36.5099983215332,36.5099983215332,164300
2020-03-02,36.41999816894531,37.900001525878906,36.41999816894531,36.95000076293945,36.95000076293945,236100
2020-03-03,36.91999816894531,37.72999954223633,36.59000015258789,37.41999816894531,37.41999816894531,128900
2020-03-04,37.70000076293945,39.16999816894531,37.45000076293945,39.099998474121094,39.099998474121094,119700
2020-03-05,38.45000076293945,38.70000076293945,37.27000045776367,37.81999969482422,37.81999969482422,212900
2020-03-06,36.84000015258789,37.95000076293945,36.84000015258789,37.88999938964844,37.88999938964844,132100
2020-03-09,37.060001373291016,37.41999816894531,35.13999938964844,35.459999084472656,35.459999084472656,266700
2020-03-10,36.349998474121094,37.08000183105469,35.0,36.02000045776367,36.02000045776367,165200
2020-03-11,35.41999816894531,35.7400016784668,33.099998474121094,33.91999816894531,33.91999816894531,114700
2020-03-12,32.31999969482422,32.56999969482422,29.18000030517578,29.34000015258789,29.34000015258789,165900
2020-03-13,30.079999923706055,30.600000381469727,27.229999542236328,30.479999542236328,30.479999542236328,169800
2020-03-16,27.670000076293945,27.989999771118164,25.40999984741211,25.600000381469727,25.600000381469727,127600
2020-03-17,25.8799991607666,26.639999389648438,23.229999542236328,23.770000457763672,23.770000457763672,179400
2020-03-18,22.350000381469727,22.780000686645508,16.829999923706055,17.1299991607666,17.1299991607666,216700
2020-03-19,16.959999084472656,20.010000228881836,14.4399995803833,18.649999618530273,18.649999618530273,423600
2020-03-20,18.68000030517578,19.110000610351562,17.5,18.600000381469727,18.600000381469727,283500
2020-03-23,18.43000030517578,18.969999313354492,17.1299991607666,17.850000381469727,17.850000381469727,188600
2020-03-24,18.81999969482422,20.540000915527344,18.360000610351562,19.559999465942383,19.559999465942383,185600
2020-03-25,19.690000534057617,21.68000030517578,19.489999771118164,20.139999389648438,20.139999389648438,201900
2020-03-26,20.25,24.610000610351562,20.020000457763672,24.1200008392334,24.1200008392334,385700
2020-03-27,23.670000076293945,23.670000076293945,21.6200008392334,21.920000076293945,21.920000076293945,209500
2020-03-30,22.15999984741211,22.65999984741211,20.040000915527344,21.979999542236328,21.979999542236328,189800
2020-03-31,21.520000457763672,22.040000915527344,20.65999984741211,20.75,20.75,187500
2020-04-01,20.06999969482422,20.06999969482422,18.049999237060547,18.219999313354492,18.219999313354492,215300
